,City,Location
127,Chennai,"('13.0836939', '80.270186')"
128,Bogotá,"('4.6533326', '-74.083652')"
129,Juba,"('4.8472017', '31.5951655')"
130,Dublin,"('53.3497645', '-6.2602732')"
131,Honiara,"('-9.4310769', '159.9552552')"
132,Ho Chi Minh City,"('10.7715512', '106.6983801')"
133,Bairiki,"('1.3296193', '172.9777542')"
134,Dodoma,"('-6.1791181', '35.7468174')"
135,Edmonton,"('53.535411', '-113.507996')"
136,Castries,"('43.6779101', '3.9868904')"
137,Saint John's,"('17.1184569', '-61.8448509')"
138,Ouagadougou,"('12.3681873', '-1.5270944')"
139,Praia,"('14.9162811', '-23.5095095')"
140,Majuro,"('7.0909924', '171.3816354')"
141,Yamoussoukro,"('6.809107', '-5.273263')"
142,Vienna,"('48.2083537', '16.3725042')"
143,Bandar Seri Begawan,"('4.8895453', '114.9417574')"
144,Chișinău,"('47.0245117', '28.8322923')"
145,Baku,"('40.3754434', '49.8326748')"
146,Addis Ababa,"('9.0107934', '38.7612525')"
147,Berlin,"('52.5170365', '13.3888599')"
148,Johannesburg,"('-26.205', '28.049722')"
149,Accra,"('5.5571096', '-0.2012376')"
150,Hanoi,"('21.0294498', '105.8544441')"
151,East Jerusalem and Ramallah[Note 1],
152,Malabo,"('3.752828', '8.780061')"
153,Kabul,"('34.5260109', '69.1776838')"
154,Freetown,"('8.479004', '-13.26795')"
155,Maseru,"('-29.310054', '27.478222')"
156,Managua,"('12.1459907', '-86.2746665')"
157,Wellington,"('-41.2887953', '174.7772114')"
158,Panama City,"('8.9714493', '-79.5341802')"
159,Porto-Novo,"('6.4990718', '2.6253361')"
160,Singapore,"('1.2899175', '103.8519072')"
161,Ottawa,"('45.3969506', '-75.6851593')"
162,Washington D.C.,"('38.8950368', '-77.0365427')"
163,El Alto,"('-16.5048228', '-68.1624337')"
164,Helsinki,"('60.1674881', '24.9427473')"
165,Lisbon,"('38.7077507', '-9.1365919')"
166,Rome,"('41.8933203', '12.4829321')"
167,Buenos Aires,"('-34.6075682', '-58.4370894')"
168,Kingstown,"('13.1561864', '-61.2279621')"
169,Abuja,"('9.0643305', '7.4892974')"
170,Port of Spain,"('10.6572678', '-61.5180173')"
171,Guatemala City,"('14.6222328', '-90.5185188')"
172,São Paulo,"('-23.5506507', '-46.6333824')"
173,San José,"('9.9325427', '-84.0795782')"
174,Bloemfontein,"('-29.116395', '26.215496')"
175,Asmara,"('15.3389667', '38.9326763')"
176,Santo Domingo,"('18.4801972', '-69.942111')"
177,Minsk,"('53.9024716', '27.5618225')"
178,Athens,"('37.9839412', '23.7283052')"
179,Nairobi,"('-1.2832533', '36.8172449')"
180,Yaoundé,"('3.8689867', '11.5213344')"
181,Victoria,"('48.4283182', '-123.3649533')"
182,Nuku'alofa,"('-21.1343401', '-175.201808')"
183,Palikir,"('6.920744', '158.1627143')"
184,Nicosia,"('35.1748976', '33.3638568')"
185,Montevideo,"('-34.9058916', '-56.1913095')"
186,Harare,"('-17.831773', '31.045686')"
187,Luanda,"('-8.8272699', '13.2439512')"
188,Tirana,"('41.3281482', '19.8184435')"
189,Dili,"('-8.5536809', '125.5784093')"
190,Ulaanbaatar,"('47.9184676', '106.9177016')"
191,Belo Horizonte,"('-19.9227318', '-43.9450948')"
192,Sana'a,"('15.3538569', '44.2058841')"
193,Zagreb,"('45.8131847', '15.9771774')"
194,Toluca,"('19.292545', '-99.6569007')"
195,Vaduz,"('47.1392862', '9.5227962')"
196,Shanghai,"('31.2322758', '121.4692071')"
197,Libreville,"('0.390002', '9.454001')"
198,Mogadishu,"('2.0349312', '45.3419183')"
199,Pokhara,"('28.209538', '83.991402')"
200,Georgetown,"('6.8137426', '-58.1624465')"
201,Tunis,"('36.8002068', '10.1857757')"
202,Caracas,"('10.506098', '-66.9146017')"
203,Jerusalem,"('31.79592425', '35.21198075969497')"
204,Baguio,"('16.4119945', '120.5933729')"
205,Dhaka,"('23.7861979', '90.4026151')"
206,Bangui,"('4.3907153', '18.5509126')"
207,Quito,"('-0.2201641', '-78.5123274')"
208,Sarajevo,"('43.8519774', '18.3866868')"
209,Albuquerque,"('35.0841034', '-106.650985')"
210,Brazzaville,"('-4.2694407', '15.2712256')"
211,Asunción,"('-25.2800459', '-57.6343814')"
212,Riyadh,"('24.638916', '46.7160104')"
213,Naypyidaw,"('19.7540045', '96.1344976')"
214,Butwal,"('27.6827731', '83.44386204928969')"
215,Maputo,"('-25.966213', '32.56745')"
216,Prague,"('50.0874654', '14.4212535')"
217,Kingston,"('17.9712148', '-76.7928128')"
218,Bamako,"('12.649319', '-8.000337')"
219,Ngerulmud,"('7.5006446', '134.6242864')"
220,Havana,"('23.135305', '-82.3589631')"
221,London,"('51.5073219', '-0.1276474')"
222,Manama,"('26.2235041', '50.5822436')"
223,Milan,"('45.4641943', '9.1896346')"
224,Saint George's,"('12.0535331', '-61.751805')"
225,Ashgabat,"('37.9404648', '58.3823487')"
226,Antananarivo,"('-18.9100122', '47.5255809')"
227,Paris,"('48.8588897', '2.3200410217200766')"
228,Srinagar,"('34.0747444', '74.8204443')"
229,Niamey,"('13.524834', '2.109823')"
